,lat,lon,onset_threshold
503,5.0,36.5,20
504,5.0,36.75,20
505,5.0,37.0,20
506,5.0,37.25,20
507,5.0,37.5,20
508,5.0,37.75,20
509,5.0,38.0,20
510,5.0,38.25,20
511,5.0,38.5,20
512,5.0,38.75,20
513,5.0,39.0,20
514,5.0,39.25,20
515,5.0,39.5,20
516,5.0,39.75,20
517,5.0,40.0,20
518,5.0,40.25,20
519,5.0,40.5,20
520,5.0,40.75,20
521,5.0,41.0,20
522,5.0,41.25,20
523,5.0,41.5,20
524,5.0,41.75,20
525,5.0,42.0,20
526,5.0,42.25,20
527,5.0,42.5,20
528,5.0,42.75,20
529,5.0,43.0,20
530,5.0,43.25,20
531,5.0,43.5,20
532,5.0,43.75,20
533,5.0,44.0,20
534,5.0,44.25,20
535,5.0,44.5,20
536,5.0,44.75,20
537,5.0,45.0,20
538,5.0,45.25,20
539,5.0,45.5,20
540,5.0,45.75,20
541,5.0,46.0,20
542,5.0,46.25,20
543,5.0,46.5,20
544,5.0,46.75,20
545,5.0,47.0,20
546,5.0,47.25,20
547,5.0,47.5,20
548,5.0,47.75,20
549,5.0,48.0,20
550,5.25,33.0,20
551,5.25,33.25,20
552,5.25,33.5,20
553,5.25,33.75,20
554,5.25,34.0,20
555,5.25,34.25,20
556,5.25,34.5,20
557,5.25,34.75,20
558,5.25,35.0,20
559,5.25,35.25,20
560,5.25,35.5,20
561,5.25,35.75,20
562,5.25,36.0,20
563,5.25,36.25,20
564,5.25,36.5,20
565,5.25,36.75,20
566,5.25,37.0,20
567,5.25,37.25,20
568,5.25,37.5,20
569,5.25,37.75,20
570,5.25,38.0,20
571,5.25,38.25,20
572,5.25,38.5,20
573,5.25,38.75,20
574,5.25,39.0,20
575,5.25,39.25,20
576,5.25,39.5,20
577,5.25,39.75,20
578,5.25,40.0,20
579,5.25,40.25,20
580,5.25,40.5,20
581,5.25,40.75,20
582,5.25,41.0,20
583,5.25,41.25,20
584,5.25,41.5,20
585,5.25,41.75,20
586,5.25,42.0,20
587,5.25,42.25,20
588,5.25,42.5,20
589,5.25,42.75,20
590,5.25,43.0,20
591,5.25,43.25,20
592,5.25,43.5,20
593,5.25,43.75,20
594,5.25,44.0,20
595,5.25,44.25,20
596,5.25,44.5,20
597,5.25,44.75,20
598,5.25,45.0,20
599,5.25,45.25,20
600,5.25,45.5,20
601,5.25,45.75,20
602,5.25,46.0,20
603,5.25,46.25,20
604,5.25,46.5,20
605,5.25,46.75,20
606,5.25,47.0,20
607,5.25,47.25,20
608,5.25,47.5,20
609,5.25,47.75,20
610,5.25,48.0,20
611,5.5,33.0,20
612,5.5,33.25,20
613,5.5,33.5,20
614,5.5,33.75,20
615,5.5,34.0,20
616,5.5,34.25,20
617,5.5,34.5,20
618,5.5,34.75,20
619,5.5,35.0,20
620,5.5,35.25,20
621,5.5,35.5,20
622,5.5,35.75,20
623,5.5,36.0,20
624,5.5,36.25,20
625,5.5,36.5,20
626,5.5,36.75,20
627,5.5,37.0,20
628,5.5,37.25,20
629,5.5,37.5,20
630,5.5,37.75,20
631,5.5,38.0,20
632,5.5,38.25,20
633,5.5,38.5,20
634,5.5,38.75,20
635,5.5,39.0,20
636,5.5,39.25,20
637,5.5,39.5,20
638,5.5,39.75,20
639,5.5,40.0,20
640,5.5,40.25,20
641,5.5,40.5,20
642,5.5,40.75,20
643,5.5,41.0,20
644,5.5,41.25,20
645,5.5,41.5,20
646,5.5,41.75,20
647,5.5,42.0,20
648,5.5,42.25,20
649,5.5,42.5,20
650,5.5,42.75,20
651,5.5,43.0,20
652,5.5,43.25,20
653,5.5,43.5,20
654,5.5,43.75,20
655,5.5,44.0,20
656,5.5,44.25,20
657,5.5,44.5,20
658,5.5,44.75,20
659,5.5,45.0,20
660,5.5,45.25,20
661,5.5,45.5,20
662,5.5,45.75,20
663,5.5,46.0,20
664,5.5,46.25,20
665,5.5,46.5,20
666,5.5,46.75,20
667,5.5,47.0,20
668,5.5,47.25,20
669,5.5,47.5,20
670,5.5,47.75,20
671,5.5,48.0,20
672,5.75,33.0,20
673,5.75,33.25,20
674,5.75,33.5,20
675,5.75,33.75,20
676,5.75,34.0,20
677,5.75,34.25,20
678,5.75,34.5,20
679,5.75,34.75,20
680,5.75,35.0,20
681,5.75,35.25,20
682,5.75,35.5,20
683,5.75,35.75,20
684,5.75,36.0,20
685,5.75,36.25,20
686,5.75,36.5,20
687,5.75,36.75,20
688,5.75,37.0,20
689,5.75,37.25,20
690,5.75,37.5,20
691,5.75,37.75,20
692,5.75,38.0,20
693,5.75,38.25,20
694,5.75,38.5,20
695,5.75,38.75,20
696,5.75,39.0,20
697,5.75,39.25,20
698,5.75,39.5,20
699,5.75,39.75,20
700,5.75,40.0,20
701,5.75,40.25,20
702,5.75,40.5,20
703,5.75,40.75,20
704,5.75,41.0,20
705,5.75,41.25,20
706,5.75,41.5,20
707,5.75,41.75,20
708,5.75,42.0,20
709,5.75,42.25,20
710,5.75,42.5,20
711,5.75,42.75,20
712,5.75,43.0,20
713,5.75,43.25,20
714,5.75,43.5,20
715,5.75,43.75,20
716,5.75,44.0,20
717,5.75,44.25,20
718,5.75,44.5,20
719,5.75,44.75,20
720,5.75,45.0,20
721,5.75,45.25,20
722,5.75,45.5,20
723,5.75,45.75,20
724,5.75,46.0,20
725,5.75,46.25,20
726,5.75,46.5,20
727,5.75,46.75,20
728,5.75,47.0,20
729,5.75,47.25,20
730,5.75,47.5,20
731,5.75,47.75,20
732,5.75,48.0,20
733,6.0,33.0,20
734,6.0,33.25,20
735,6.0,33.5,20
736,6.0,33.75,20
737,6.0,34.0,20
738,6.0,34.25,20
739,6.0,34.5,20
740,6.0,34.75,20
741,6.0,35.0,20
742,6.0,35.25,20
743,6.0,35.5,20
744,6.0,35.75,20
745,6.0,36.0,20
746,6.0,36.25,20
